"";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"unico";0,7127;-0,0968;-0,2124;0,4348;-0,0754;0,4144;0,5096;0,8145;-0,5078;0,3187;-0,4203;-0,2912;-0,2078;-0,8668;-0,1166;-0,0426;-0,5996;-0,0344;-0,2476;-0,0574;-0,4121;2,0998
"presente";-0,041;-0,0425;-0,0932;0,3615;-0,0331;-0,2576;1,0679;0,9013;-0,1401;-0,3119;0,6391;-0,1668;0,3951;-0,1811;-0,0511;-0,0187;-0,4679;-0,0151;-0,2315;-0,0252;-0,2237;-0,5848
"amichevole";-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;0,4861;-0,1446;-0,3759;0,2947;-0,2079;-0,27;-0,3426;0,2124;-0,2273;-0,0341;-0,0125;1,3215;-0,0101;0,3291;-0,0168;0,2124;0,2274
"dell";-0,0753;-0,0779;-0,1709;-0,1398;-0,0607;-0,4726;1,2188;-0,4938;-0,3676;-0,5723;1,0827;0,8097;-0,2709;0,2734;-0,0938;-0,0343;0,4316;-0,0277;0,3753;-0,0462;-0,2709;-0,5203
"patatina";-0,0228;-0,0236;0,9496;-0,1377;-0,0184;-0,143;-0,1204;0,2892;0,3511;0,4829;1,0582;0,3172;-0,3437;-0,1679;-0,0284;-0,0104;-0,1845;-0,0084;-0,204;-0,014;-0,3437;-0,3248
"attesa";-0,0501;-0,0519;1,5605;1,5248;-0,0404;-0,3149;-0,2651;-0,6894;0,4418;-0,3813;0,5147;-0,6283;1,6513;1,0048;-0,0625;-0,0228;-1,2347;-0,0184;-1,316;-0,0308;0,6345;-0,7149
"piacevole";-0,0821;-0,085;-0,1865;-0,1612;-0,0662;-0,5156;-0,4341;0,3354;0,8283;0,7824;0,9747;-1,0288;-0,6397;-0,2197;0,6779;-0,0374;0,3511;-0,0302;0,5031;-0,0504;0,535;-1,1706
"prodotto";-0,0821;-0,085;-0,1865;-0,4963;-0,0662;-0,5156;-0,4341;-0,2692;-0,419;0,7824;-0,3456;-1,0288;-1,2389;0,9551;-0,1023;-0,0374;-1,2452;-0,0302;0,5031;-0,0504;0,535;4,5449
"sugo";-0,0319;-0,033;-0,0724;2,0716;-0,0257;-0,2003;0,4924;0,5951;-0,3587;-0,2426;-0,315;2,8977;-0,4813;-0,2911;-0,0398;-0,0145;-0,7854;-0,0117;0,2568;-0,0196;-0,4813;-0,4548
"mozzarella";-0,0319;-0,033;-0,0724;-0,1928;1,2401;0,4324;-0,1687;0,1967;0,2501;-0,2426;-0,315;0,2207;-0,148;-0,7405;-0,0398;-0,0145;-0,3183;-0,0117;1,0239;-0,0196;0,5393;-0,135
